Time,1,2,3,4,5
0.304688,-17.678538,-1.993820,-59.947524,-5.183932,-0.398764
0.308594,-58.884154,-5.183932,-112.318532,-3.057191,-3.588876
0.312500,-106.469993,-12.361685,-211.743694,2.259663,-14.754269
0.316406,-135.446845,-17.678538,-296.015824,7.310674,-17.678538
0.320312,-143.156283,-18.210224,-317.283238,8.639887,-3.854719
0.324219,-135.181003,-16.083482,-290.433127,7.044831,5.183932
0.328125,-124.281453,-14.488426,-261.987961,5.449775,-4.386404
0.332031,-118.167071,-14.488426,-252.949310,4.918090,-15.817639
0.335938,-115.242802,-14.488426,-247.366613,3.854719,-10.766629
0.339844,-111.255161,-14.754269,-235.403693,2.525505,-0.930449
0.343750,-105.140780,-14.488426,-220.516503,0.398764,-5.183932
0.347656,-98.494713,-13.159213,-199.780774,-1.727977,-15.551797
0.351562,-93.709545,-13.159213,-180.108415,-3.588876,-13.159213
0.355469,-91.051118,-16.083482,-178.779202,-4.652247,-2.791348
0.359375,-86.797635,-17.146853,-194.729763,-4.386404,-2.791348
0.363281,-80.949096,-13.159213,-196.324819,-4.386404,-13.956741
0.367188,-75.898085,-7.576516,-171.335607,-3.854719,-17.944381
0.371094,-70.847074,-3.854719,-141.295384,-2.791348,-10.234943
0.375000,-63.935164,-0.930449,-116.306172,-0.664607,-5.981460
0.378906,-57.554940,1.196292,-100.355612,1.196292,-10.500786
0.382812,-53.567300,0.930449,-93.177859,5.183932,-12.095842
0.386719,-52.769772,-1.993820,-88.658534,10.766629,-4.652247
0.390625,-53.301457,-6.778988,-91.582803,15.020111,0.664607
0.394531,-52.238087,-10.766629,-103.811566,16.083482,-2.259663
0.398438,-49.313817,-11.829999,-100.887297,15.020111,-6.247303
0.402344,-45.326177,-9.703258,-77.758984,12.095842,-1.462135
0.406250,-41.604379,-8.374044,-56.757412,8.905730,5.715618
0.410156,-39.477638,-9.969100,-43.199435,9.437415,5.449775
0.414062,-37.882582,-12.361685,-31.502358,11.829999,0.664607
0.417969,-36.021683,-13.159213,-25.387976,12.627527,1.196292
0.421875,-31.768200,-11.829999,-21.134493,11.298314,6.247303
0.425781,-24.324605,-8.905730,-11.032471,9.703258,6.513146
0.429688,-16.881010,-5.981460,-3.854719,8.905730,2.259663
0.433594,-11.829999,-3.588876,-6.247303,9.437415,1.196292
0.437500,-9.171572,-1.993820,-9.969100,9.969100,5.183932
0.441406,-7.310674,-0.664607,-10.234943,9.437415,6.778988
0.445312,-5.715618,0.132921,-6.778988,8.374044,3.057191
0.449219,-4.652247,1.196292,-1.993820,6.513146,-0.132921
0.453125,-3.854719,2.525505,3.588876,3.854719,0.664607
0.457031,-3.323033,3.588876,14.488426,1.727977,1.462135
0.460938,-1.727977,3.854719,30.173144,0.664607,-2.791348
0.464844,-0.132921,3.588876,39.743481,-0.132921,-8.374044
0.468750,1.993820,3.854719,37.085054,-0.664607,-9.437415
0.472656,5.449775,4.652247,28.843931,-2.525505,-8.108202
0.476562,8.905730,5.449775,29.907301,-4.918090,-9.703258
0.480469,11.298314,6.247303,47.452918,-5.981460,-12.893370
0.484375,13.690898,6.778988,66.327749,-6.513146,-12.627527
0.488281,15.551797,7.842359,74.568872,-7.044831,-8.905730
0.492188,16.881010,8.639887,73.505501,-6.513146,-7.310674
0.496094,17.944381,7.842359,64.466850,-3.854719,-8.905730
0.500000,18.476066,5.449775,55.694041,-0.398764,-8.905730
0.503906,18.741909,2.525505,55.162356,1.727977,-5.715618
0.507812,19.273594,0.132921,60.213367,1.993820,-3.323033
0.511719,19.539437,-1.462135,70.315389,0.398764,-3.854719
0.515625,18.210224,-3.323033,82.012467,-1.462135,-3.854719
0.519531,16.083482,-4.652247,88.126848,-3.057191,-0.930449
0.523438,15.817639,-5.183932,88.126848,-3.854719,1.727977
0.527344,15.817639,-5.981460,87.595163,-4.918090,1.993820
0.531250,15.817639,-7.310674,87.595163,-5.183932,0.930449
0.535156,16.083482,-7.310674,85.734264,-5.449775,1.993820
0.539062,18.741909,-5.715618,82.278309,-5.981460,3.854719
0.542969,22.197864,-3.854719,79.619883,-6.247303,4.918090
0.546875,25.122133,-3.057191,79.885725,-6.513146,4.652247
0.550781,27.780560,-1.993820,83.873365,-7.310674,6.247303
0.554688,29.641459,-0.930449,86.531792,-8.108202,9.171572
0.558594,30.970672,-0.132921,83.341680,-9.171572,10.766629
0.562500,32.034043,0.664607,76.961456,-10.500786,10.234943
0.566406,32.831571,1.993820,70.847074,-12.095842,9.171572
0.570312,33.363256,3.323033,67.922805,-13.425055,9.171572
0.574219,33.363256,4.386404,73.505501,-14.222583,8.639887
0.578125,33.363256,5.449775,85.734264,-14.222583,6.513146
0.582031,33.629099,6.247303,94.507073,-13.425055,5.183932
0.585938,34.160784,5.715618,95.304601,-13.425055,4.918090
0.589844,33.629099,3.588876,92.380331,-14.488426,4.652247
0.593750,33.363256,0.930449,84.405051,-15.551797,2.791348
0.597656,32.831571,-1.462135,65.264378,-15.285954,0.664607
0.601562,32.034043,-3.854719,40.541009,-13.956741,0.398764
0.605469,32.034043,-5.183932,29.109773,-13.159213,1.196292
0.609375,33.363256,-5.183932,38.414267,-13.159213,0.930449
0.613281,35.224155,-4.652247,58.884154,-13.159213,-0.132921
0.617188,36.287526,-4.386404,83.607523,-13.956741,-0.930449
0.621094,35.755840,-4.918090,106.204150,-13.956741,-0.398764
0.625000,33.629099,-6.247303,112.584375,-12.095842,0.132921
0.628906,31.768200,-7.576516,101.153140,-9.437415,-0.132921
0.632812,30.173144,-7.576516,88.392691,-6.513146,-0.132921
0.636719,30.173144,-5.981460,83.341680,-3.854719,0.132921
0.640625,31.502358,-3.588876,83.607523,-2.259663,0.398764
0.644531,33.363256,-1.196292,83.075837,-0.930449,0.132921
0.648438,36.021683,0.132921,81.214939,0.132921,-0.398764
0.652344,37.882582,1.462135,80.683253,1.196292,-0.132921
0.656250,39.211795,3.057191,87.595163,1.727977,0.930449
0.660156,40.541009,4.386404,108.862577,3.588876,1.462135
0.664062,41.072694,5.449775,138.636957,5.449775,1.993820
0.667969,41.870222,6.513146,164.157855,5.981460,3.057191
0.671875,42.401907,7.842359,180.374258,5.183932,4.918090
0.675781,42.933593,8.905730,193.666392,5.715618,5.981460
0.679688,43.996963,10.234943,203.502571,7.044831,6.778988
0.683594,45.592020,12.095842,197.654032,7.576516,7.310674
0.687500,47.984604,14.222583,165.487068,6.778988,7.576516
0.691406,50.377188,16.083482,111.521004,4.652247,7.842359
0.695312,51.440558,16.881010,50.111345,2.259663,7.842359
0.699219,50.111345,15.285954,-5.183932,0.664607,7.044831
0.703125,46.921233,11.564157,-45.592020,0.132921,5.981460
0.707031,42.933593,7.310674,-67.125277,0.930449,4.652247
0.710938,40.806851,4.918090,-71.378759,0.664607,3.588876
0.714844,39.743481,3.854719,-58.884154,-0.930449,2.525505
0.718750,37.882582,3.057191,-32.565728,-2.791348,1.196292
0.722656,35.755840,2.525505,5.715618,-5.183932,-0.132921
0.726562,32.565728,2.259663,50.377188,-7.310674,-2.525505
0.730469,29.109773,2.259663,83.341680,-9.437415,-5.183932
0.734375,26.983032,3.323033,96.102129,-11.564157,-7.044831
0.738281,26.185504,4.386404,98.228870,-13.425055,-7.310674
0.742188,25.387976,4.652247,97.431342,-14.222583,-6.778988
0.746094,23.792920,3.854719,98.228870,-14.754269,-7.044831
0.750000,22.197864,3.057191,100.621454,-15.551797,-7.576516
0.753906,20.868650,1.993820,101.950668,-15.285954,-8.374044
0.757812,20.602808,2.259663,99.823926,-14.222583,-8.905730
0.761719,21.932021,3.588876,97.431342,-13.159213,-9.703258
0.765625,23.792920,4.652247,97.165499,-11.564157,-10.234943
0.769531,25.919661,5.183932,97.697185,-9.703258,-10.500786
0.773438,27.514717,5.715618,95.570443,-7.842359,-11.032471
0.777344,27.780560,5.449775,92.380331,-6.247303,-11.829999
0.781250,26.451347,3.854719,89.987747,-5.183932,-13.159213
0.785156,23.527077,3.057191,86.265949,-5.449775,-14.222583
0.789062,20.602808,2.259663,81.746624,-5.981460,-15.020111
0.792969,18.476066,2.525505,80.151568,-5.715618,-15.817639
0.796875,17.146853,2.791348,80.949096,-4.652247,-15.817639
0.800781,15.551797,2.259663,81.746624,-2.259663,-15.285954
0.804688,14.222583,0.930449,81.214939,-0.132921,-14.222583
0.808594,12.893370,-0.664607,78.556512,0.132921,-13.690898
0.812500,11.564157,-2.525505,76.429770,-0.132921,-13.690898
0.816406,9.437415,-4.652247,75.898085,-0.398764,-13.690898
0.820312,8.639887,-5.981460,71.910445,-0.398764,-13.159213
0.824219,9.171572,-6.778988,63.935164,-0.132921,-12.627527
0.828125,10.766629,-6.247303,57.289097,-0.132921,-12.095842
0.832031,12.627527,-5.183932,54.098985,0.664607,-11.032471
0.835938,13.690898,-3.854719,58.352468,4.652247,-10.500786
0.839844,13.425055,-3.588876,68.188647,10.500786,-10.500786
0.843750,12.627527,-3.323033,75.632242,12.361685,-11.032471
0.847656,12.627527,-2.525505,75.632242,8.639887,-11.298314
0.851562,11.829999,-1.993820,68.720333,3.588876,-11.564157
0.855469,10.500786,-1.727977,60.213367,0.930449,-11.032471
0.859375,8.639887,-1.727977,56.757412,0.664607,-9.703258
0.863281,7.044831,-1.727977,58.884154,0.930449,-8.905730
0.867188,5.981460,-1.462135,61.808423,0.132921,-8.639887
0.871094,5.715618,-1.462135,62.605951,-0.132921,-8.374044
0.875000,5.981460,-1.462135,61.542580,-0.132921,-7.842359
0.878906,6.247303,-1.462135,59.681682,-0.398764,-7.310674
0.882812,5.981460,-1.993820,58.352468,-1.727977,-6.778988
0.886719,3.854719,-3.057191,56.491569,-3.854719,-7.310674
0.890625,1.993820,-4.652247,53.301457,-6.778988,-9.437415
0.894531,0.664607,-5.715618,51.440558,-8.374044,-12.095842
0.898438,-0.132921,-6.247303,51.706401,-10.234943,-14.754269
0.902344,-0.930449,-7.310674,50.908873,-12.627527,-16.881010
0.906250,-1.727977,-8.108202,47.984604,-14.488426,-18.476066
0.910156,-2.525505,-8.905730,44.528649,-15.817639,-19.805280
0.914062,-3.854719,-9.171572,41.338537,-16.083482,-20.336965
0.917969,-3.854719,-8.374044,39.211795,-15.817639,-19.007752
0.921875,-3.323033,-6.778988,38.680110,-15.285954,-16.615167
0.925781,-2.259663,-4.918090,38.414267,-14.754269,-14.754269
0.929688,-1.196292,-3.323033,36.021683,-14.754269,-14.488426
0.933594,-0.398764,-2.259663,32.831571,-14.754269,-16.083482
0.937500,-0.398764,-2.259663,29.375616,-13.425055,-18.476066
0.941406,-0.664607,-2.259663,25.919661,-11.298314,-20.336965
0.945312,-1.727977,-2.525505,23.792920,-9.171572,-21.666178
0.949219,-2.525505,-2.791348,22.995392,-7.044831,-22.729549
0.953125,-2.259663,-1.993820,22.729549,-5.449775,-23.261234
0.957031,-0.398764,-0.398764,25.387976,-3.323033,-23.527077
0.960938,1.727977,0.930449,29.641459,-0.398764,-23.261234
0.964844,4.652247,2.525505,31.768200,1.462135,-22.729549
0.968750,7.576516,4.918090,28.843931,1.727977,-22.463706
0.972656,9.703258,6.513146,19.805280,1.993820,-21.932021
0.976562,9.437415,7.310674,8.374044,3.588876,-21.400336
0.980469,8.374044,7.576516,-3.057191,6.247303,-20.071122
0.984375,7.576516,6.778988,-11.298314,8.108202,-18.476066
0.988281,6.778988,5.715618,-13.425055,8.108202,-17.146853
0.992188,5.715618,3.854719,-14.222583,5.981460,-16.881010
0.996094,4.652247,2.791348,-18.476066,2.525505,-17.412696
1.000000,3.588876,1.462135,-26.717189,0.132921,-17.412696
1.003906,2.259663,0.132921,-36.819211,-0.664607,-16.615167
1.007812,0.930449,-0.930449,-46.123705,-0.664607,-15.020111
1.011719,-0.132921,-2.259663,-53.301457,-0.664607,-13.425055
1.015625,-0.132921,-2.791348,-58.086625,-1.462135,-11.298314
1.019531,0.398764,-2.259663,-59.415839,-2.259663,-8.905730
1.023438,0.930449,-2.259663,-58.884154,-3.057191,-6.778988
1.027344,0.398764,-3.323033,-58.618311,-3.854719,-4.918090
1.031250,-0.398764,-4.918090,-59.681682,-4.652247,-3.323033
1.035156,-2.259663,-7.044831,-63.137636,-3.854719,-1.727977
1.039062,-4.652247,-9.969100,-67.125277,-2.525505,-0.664607
1.042969,-7.044831,-12.361685,-67.125277,-0.930449,-0.398764
1.046875,-9.171572,-13.956741,-63.935164,-0.132921,-0.132921
1.050781,-12.095842,-15.020111,-63.137636,-0.132921,-0.132921
1.054688,-15.551797,-16.083482,-64.466850,-1.196292,-0.132921
1.058594,-17.678538,-16.881010,-67.656962,-3.057191,0.398764
1.062500,-18.210224,-17.146853,-70.315389,-3.854719,1.727977
1.066406,-16.881010,-15.551797,-71.910445,-3.854719,3.323033
1.070312,-13.956741,-12.095842,-72.176287,-4.652247,5.715618
1.074219,-10.234943,-8.905730,-68.720333,-4.386404,8.374044
1.078125,-7.310674,-5.981460,-62.074266,-3.854719,10.234943
1.082031,-4.918090,-3.323033,-54.630671,-3.854719,11.829999
1.085938,-3.323033,-1.462135,-50.643030,-3.323033,12.893370
1.089844,-2.791348,-0.664607,-52.238087,-2.259663,13.690898
1.093750,-2.259663,-0.132921,-56.225727,-0.930449,14.222583
1.097656,-0.398764,0.930449,-55.162356,0.664607,14.488426
1.101562,2.259663,3.057191,-49.579660,3.057191,14.222583
1.105469,5.449775,5.715618,-45.592020,4.386404,13.690898
1.109375,8.374044,8.374044,-43.731121,4.652247,13.425055
1.113281,10.500786,9.969100,-40.009323,5.981460,13.690898
1.117188,11.564157,10.234943,-32.831571,7.576516,14.754269
1.121094,13.159213,10.766629,-26.451347,8.108202,15.551797
1.125000,14.488426,11.829999,-22.729549,7.576516,15.817639
1.128906,15.551797,13.690898,-20.336965,6.247303,15.551797
1.132812,17.146853,15.551797,-21.400336,5.715618,15.551797
1.136719,17.678538,16.615167,-26.983032,6.247303,16.083482
1.140625,16.881010,17.146853,-28.578088,6.513146,17.146853
1.144531,16.083482,19.273594,-20.071122,5.449775,17.146853
1.148438,17.678538,21.932021,-8.639887,3.323033,17.678538
1.152344,19.539437,24.058762,-3.323033,0.930449,18.741909
1.156250,20.602808,25.653819,-5.183932,-0.132921,20.336965
1.160156,20.868650,25.653819,-10.500786,-0.132921,22.995392
1.164062,20.071122,24.590448,-16.083482,1.196292,25.653819
1.167969,18.210224,23.261234,-20.071122,2.525505,28.046403
1.171875,17.146853,22.197864,-20.071122,3.588876,29.375616
1.175781,17.678538,21.400336,-19.539437,4.652247,30.173144
1.179688,18.741909,21.666178,-19.805280,6.247303,30.970672
1.183594,19.273594,22.463706,-18.210224,7.842359,31.768200
1.187500,18.741909,22.729549,-15.551797,7.842359,32.034043
1.191406,17.944381,22.197864,-14.222583,7.044831,32.034043
1.195312,17.678538,21.400336,-14.222583,7.310674,31.236515
1.199219,17.678538,20.071122,-13.956741,8.639887,30.173144
1.203125,17.146853,18.741909,-12.627527,9.437415,29.375616
1.207031,15.817639,16.881010,-11.298314,9.437415,29.109773
1.210938,13.690898,14.488426,-11.829999,9.171572,28.843931
1.214844,11.564157,11.829999,-14.488426,8.905730,28.578088
1.218750,10.500786,10.500786,-17.678538,9.171572,28.046403
1.222656,9.969100,10.766629,-17.944381,9.703258,27.780560
1.226562,8.905730,11.298314,-17.412696,9.437415,27.248875
1.230469,7.310674,11.298314,-19.007752,8.639887,26.983032
1.234375,5.981460,11.564157,-19.539437,8.108202,26.983032
1.238281,5.981460,12.361685,-16.615167,7.044831,26.983032
1.242188,6.778988,13.690898,-12.627527,5.715618,26.451347
1.246094,7.576516,14.488426,-9.437415,5.183932,26.185504
1.250000,7.310674,14.222583,-8.108202,5.449775,26.717189
1.253906,6.513146,12.627527,-8.108202,5.715618,27.514717
1.257812,4.918090,10.234943,-8.639887,5.715618,28.046403
1.261719,3.588876,8.108202,-10.234943,5.449775,28.046403
1.265625,3.323033,6.513146,-10.766629,3.854719,28.312245
